+------------+--------+--------+----------+----------+----------+-----------+-----------+---------------------------------+
| identifier | e_rmse | f_rmse | f_rmse_H | f_rmse_C | f_rmse_N | f_rmse_Br | f_rmse_Pb |                          stdout |
+------------+--------+--------+----------+----------+----------+-----------+-----------+---------------------------------+
|          0 |   0.07 |  41.76 |    32.45 |    64.82 |    61.00 |     27.87 |     41.49 |  task_1366_cp2k_singlepoint_pre |
|          1 |   0.02 |  71.04 |    51.39 |   122.35 |   113.35 |     35.93 |     55.89 |  task_1368_cp2k_singlepoint_pre |
|          2 |   0.33 |  42.25 |    35.59 |    65.53 |    57.99 |     27.00 |     44.41 |  task_1372_cp2k_singlepoint_pre |
|          3 |   0.18 |  40.27 |    33.24 |    67.20 |    53.15 |     26.54 |     42.08 |  task_1374_cp2k_singlepoint_pre |
|          4 |   1.06 |  55.99 |    43.25 |    94.00 |    76.97 |     36.79 |     61.40 |  task_1378_cp2k_singlepoint_pre |
|          5 |   0.10 |  43.99 |    34.27 |    75.41 |    58.73 |     30.68 |     46.11 |  task_1380_cp2k_singlepoint_pre |
|          6 |   0.51 |  51.78 |    39.03 |    89.58 |    70.77 |     37.28 |     51.62 |  task_1384_cp2k_singlepoint_pre |
|          7 |   0.77 |  51.37 |    39.71 |    77.20 |    73.85 |     36.90 |     55.89 |  task_1387_cp2k_singlepoint_pre |
|          8 |   0.39 |  33.99 |    28.69 |    48.71 |    50.48 |     21.21 |     30.50 |  task_1390_cp2k_singlepoint_pre |
|          9 |   0.60 |  69.17 |    58.10 |   100.73 |    93.84 |     45.88 |     80.35 |  task_1393_cp2k_singlepoint_pre |
|         10 |   0.19 |  49.17 |    37.23 |    83.25 |    67.72 |     33.85 |     50.42 |  task_1396_cp2k_singlepoint_pre |
|         11 |   1.31 |  57.94 |    44.35 |    92.38 |    76.39 |     43.96 |     66.73 |  task_1399_cp2k_singlepoint_pre |
|         12 |   1.10 |  68.43 |    50.59 |   114.50 |    89.16 |     49.35 |     84.17 |  task_1402_cp2k_singlepoint_pre |
|         13 |   4.28 |  69.06 |    50.48 |    91.02 |    77.57 |     73.83 |     88.39 |  task_1405_cp2k_singlepoint_pre |
|         14 |   0.98 |  55.43 |    40.59 |    79.60 |    70.73 |     47.14 |     74.96 |  task_1408_cp2k_singlepoint_pre |
|         15 |   0.42 |  63.41 |    45.44 |    99.90 |    81.81 |     50.85 |     82.50 |  task_1411_cp2k_singlepoint_pre |
|         16 |   0.67 |  68.04 |    46.56 |   105.23 |    85.01 |     60.35 |     90.87 |  task_1414_cp2k_singlepoint_pre |
|         17 |   0.11 |  48.38 |    38.91 |    76.67 |    66.68 |     31.98 |     51.40 |  task_1417_cp2k_singlepoint_pre |
|         18 |   0.02 |  51.96 |    40.36 |    83.68 |    69.39 |     36.94 |     58.87 |  task_1420_cp2k_singlepoint_pre |
|         19 |   0.26 |  56.61 |    46.49 |    91.72 |    70.21 |     41.66 |     63.81 |  task_1423_cp2k_singlepoint_pre |
|         20 |   0.03 |  53.36 |    39.95 |    85.32 |    73.02 |     39.10 |     59.50 |  task_1426_cp2k_singlepoint_pre |
|         21 |   0.27 |  70.05 |    53.98 |   103.04 |    98.14 |     50.24 |     81.40 |  task_1429_cp2k_singlepoint_pre |
|         22 |   0.64 |  66.27 |    47.12 |    92.78 |    85.29 |     58.11 |     92.20 |  task_1432_cp2k_singlepoint_pre |
|         23 |   0.91 |  57.83 |    37.93 |    79.41 |    71.29 |     52.53 |     92.95 |  task_1435_cp2k_singlepoint_pre |
|         24 |   0.56 |  63.81 |    46.43 |    92.97 |    83.88 |     51.75 |     86.05 |  task_1438_cp2k_singlepoint_pre |
|         25 |   0.28 |  43.01 |    35.21 |    68.21 |    63.21 |     25.89 |     37.19 |  task_1441_cp2k_singlepoint_pre |
|         26 |   0.12 |  43.88 |    34.56 |    74.98 |    62.06 |     26.88 |     41.47 |  task_1444_cp2k_singlepoint_pre |
|         27 |   0.26 |  48.22 |    41.05 |    64.52 |    73.11 |     29.82 |     45.96 |  task_1447_cp2k_singlepoint_pre |
|         28 |   0.98 |  53.27 |    46.79 |    88.07 |    75.44 |     29.00 |     42.12 |  task_1450_cp2k_singlepoint_pre |
|         29 |   0.66 |  49.21 |    39.44 |    94.34 |    62.79 |     30.94 |     43.75 |  task_1453_cp2k_singlepoint_pre |
|         30 |   1.29 |  50.35 |    42.51 |    88.10 |    67.04 |     30.71 |     46.62 |  task_1456_cp2k_singlepoint_pre |
|         31 |   0.11 |  91.98 |    69.69 |   156.57 |   147.65 |     47.40 |     66.40 |  task_1459_cp2k_singlepoint_pre |
|         32 |   1.90 |  57.44 |    48.50 |    86.69 |    83.56 |     38.02 |     51.40 |  task_1462_cp2k_singlepoint_pre |
|         33 |   0.50 |  43.27 |    36.77 |    71.53 |    60.57 |     25.33 |     36.43 |  task_1465_cp2k_singlepoint_pre |
|         34 |   0.60 |  59.47 |    44.24 |    85.71 |    77.72 |     48.73 |     78.11 |  task_1468_cp2k_singlepoint_pre |
|         35 |   0.58 |  45.40 |    34.08 |    71.96 |    58.80 |     35.78 |     54.71 |  task_1471_cp2k_singlepoint_pre |
|         36 |   2.17 |  49.53 |    37.05 |    74.43 |    55.28 |     46.99 |     65.57 |  task_1474_cp2k_singlepoint_pre |
|         37 |   1.26 |  61.74 |    45.04 |    95.94 |    76.16 |     52.01 |     81.69 |  task_1477_cp2k_singlepoint_pre |
|         38 |   1.73 |  59.89 |    41.23 |    90.10 |    66.91 |     59.26 |     83.26 |  task_1480_cp2k_singlepoint_pre |
|         39 |   2.19 |  59.85 |    39.80 |    76.47 |    68.69 |     62.97 |     88.77 |  task_1483_cp2k_singlepoint_pre |
|         40 |   1.53 |  56.29 |    40.72 |    87.17 |    70.59 |     47.83 |     72.82 |  task_1486_cp2k_singlepoint_pre |
|         41 |   1.39 |  69.99 |    49.85 |    95.85 |    95.43 |     61.57 |     87.07 |  task_1489_cp2k_singlepoint_pre |
|         42 |   0.05 |  46.24 |    37.21 |    74.43 |    62.85 |     31.32 |     48.15 |  task_1492_cp2k_singlepoint_pre |
|         43 |   0.59 |  56.25 |    43.70 |    80.86 |    77.69 |     40.74 |     69.22 |  task_1495_cp2k_singlepoint_pre |
|         44 |   0.04 |  46.27 |    33.66 |    72.11 |    58.02 |     38.82 |     59.86 |  task_1498_cp2k_singlepoint_pre |
|         45 |   0.12 |  57.34 |    46.96 |    88.76 |    73.73 |     42.47 |     64.36 |  task_1501_cp2k_singlepoint_pre |
|         46 |   0.14 |  58.38 |    41.56 |    94.83 |    76.03 |     45.89 |     73.02 |  task_1504_cp2k_singlepoint_pre |
|         47 |   0.48 |  55.76 |    41.34 |    79.15 |    69.98 |     47.56 |     77.70 |  task_1507_cp2k_singlepoint_pre |
|         48 |   0.66 |  58.77 |    40.35 |    82.29 |    71.92 |     53.50 |     89.25 |  task_1510_cp2k_singlepoint_pre |
|         49 |   0.88 |  59.31 |    43.58 |    86.71 |    65.83 |     54.56 |     89.60 |  task_1513_cp2k_singlepoint_pre |
|         50 |   0.24 |  16.71 |    12.08 |    21.74 |    18.53 |     17.26 |     23.70 |  task_2978_cp2k_singlepoint_pre |
|         51 |   0.34 |  18.35 |    13.02 |    21.91 |    19.26 |     20.33 |     26.70 |  task_2976_cp2k_singlepoint_pre |
|         52 |   0.11 |  16.15 |    12.24 |    19.86 |    17.59 |     16.36 |     23.45 |  task_2974_cp2k_singlepoint_pre |
|         53 |   0.42 |  17.73 |    12.59 |    24.30 |    19.93 |     17.77 |     24.98 |  task_2984_cp2k_singlepoint_pre |
|         54 |   0.22 |  18.57 |    13.30 |    25.84 |    21.16 |     17.95 |     26.41 |  task_2986_cp2k_singlepoint_pre |
|         55 |   0.26 |  19.99 |    13.27 |    24.24 |    18.50 |     22.70 |     31.76 |  task_2980_cp2k_singlepoint_pre |
|         56 |   0.09 |  19.90 |    13.67 |    25.06 |    21.56 |     21.18 |     29.09 |  task_2988_cp2k_singlepoint_pre |
|         57 |   0.11 |  22.78 |    13.74 |    27.63 |    29.62 |     22.36 |     34.26 |  task_2982_cp2k_singlepoint_pre |
|         58 |   0.02 |  15.59 |    11.22 |    20.54 |    16.87 |     16.90 |     20.91 |  task_2992_cp2k_singlepoint_pre |
|         59 |   0.22 |  20.78 |    13.53 |    26.54 |    20.65 |     24.24 |     30.74 |  task_2990_cp2k_singlepoint_pre |
|         60 |   0.22 |  21.31 |    13.92 |    29.84 |    25.69 |     21.41 |     29.88 |  task_3000_cp2k_singlepoint_pre |
|         61 |   0.57 |  27.00 |    17.36 |    30.12 |    26.14 |     30.58 |     46.50 |  task_2996_cp2k_singlepoint_pre |
|         62 |   0.48 |  29.75 |    18.05 |    36.83 |    29.12 |     32.15 |     53.28 |  task_2994_cp2k_singlepoint_pre |
|         63 |   1.00 |  36.09 |    21.13 |    45.03 |    36.00 |     41.04 |     61.00 |  task_3002_cp2k_singlepoint_pre |
|         64 |   0.46 |  39.59 |    21.82 |    50.85 |    39.34 |     43.44 |     71.29 |  task_2998_cp2k_singlepoint_pre |
|         65 |   0.35 |  29.21 |    18.55 |    34.85 |    28.79 |     33.01 |     48.75 |  task_3006_cp2k_singlepoint_pre |
|         66 |   0.07 |  36.37 |    20.68 |    39.71 |    33.09 |     42.08 |     68.25 |  task_3004_cp2k_singlepoint_pre |
|         67 |   0.01 |  20.20 |    13.60 |    26.73 |    21.16 |     21.63 |     31.12 |  task_3010_cp2k_singlepoint_pre |
|         68 |   0.18 |  18.86 |    12.95 |    24.41 |    21.66 |     18.56 |     29.61 |  task_3008_cp2k_singlepoint_pre |
|         69 |   0.23 |  22.35 |    14.82 |    30.16 |    22.79 |     23.87 |     35.79 |  task_3012_cp2k_singlepoint_pre |
|         70 |   0.12 |  21.83 |    14.17 |    29.32 |    24.33 |     22.90 |     33.80 |  task_3018_cp2k_singlepoint_pre |
|         71 |   0.17 |  25.25 |    15.90 |    29.71 |    25.26 |     27.68 |     45.41 |  task_3022_cp2k_singlepoint_pre |
|         72 |   0.56 |  29.68 |    18.00 |    38.09 |    30.17 |     32.75 |     51.60 |  task_3016_cp2k_singlepoint_pre |
|         73 |   0.66 |  31.69 |    18.65 |    37.92 |    30.81 |     36.19 |     58.09 |  task_3020_cp2k_singlepoint_pre |
|         74 |   0.01 |  28.88 |    17.68 |    35.93 |    28.61 |     32.60 |     51.06 |  task_3014_cp2k_singlepoint_pre |
|         75 |   0.25 |  17.12 |    12.07 |    21.94 |    18.16 |     17.43 |     26.99 |  task_3032_cp2k_singlepoint_pre |
|         76 |   0.17 |  18.17 |    12.82 |    22.97 |    20.80 |     18.58 |     26.48 |  task_3030_cp2k_singlepoint_pre |
|         77 |   0.00 |  18.16 |    12.47 |    23.87 |    18.67 |     19.74 |     26.78 |  task_3028_cp2k_singlepoint_pre |
|         78 |   0.27 |  16.70 |    12.39 |    21.94 |    18.02 |     16.96 |     23.79 |  task_3026_cp2k_singlepoint_pre |
|         79 |   0.18 |  19.71 |    13.75 |    25.23 |    23.48 |     18.66 |     29.95 |  task_3024_cp2k_singlepoint_pre |
|         80 |   0.19 |  24.53 |    14.51 |    30.32 |    25.04 |     25.73 |     43.18 |  task_3036_cp2k_singlepoint_pre |
|         81 |   0.00 |  21.49 |    13.22 |    24.71 |    20.64 |     25.69 |     33.14 |  task_3034_cp2k_singlepoint_pre |
|         82 |   0.14 |  22.81 |    13.73 |    31.67 |    23.05 |     22.84 |     39.06 |  task_3044_cp2k_singlepoint_pre |
|         83 |   0.21 |  15.00 |    10.99 |    20.70 |    15.85 |     15.21 |     21.67 |  task_3052_cp2k_singlepoint_pre |
|         84 |   0.44 |  20.02 |    13.53 |    23.71 |    21.16 |     20.98 |     33.40 |  task_3050_cp2k_singlepoint_pre |
|         85 |   0.04 |  21.36 |    14.28 |    26.56 |    21.79 |     23.12 |     34.57 |  task_3042_cp2k_singlepoint_pre |
|         86 |   0.59 |  28.96 |    17.74 |    35.87 |    28.77 |     32.31 |     49.14 |  task_3040_cp2k_singlepoint_pre |
|         87 |   0.33 |  26.74 |    17.23 |    31.74 |    26.07 |     30.35 |     44.36 |  task_3038_cp2k_singlepoint_pre |
|         88 |   1.01 |  35.74 |    21.06 |    43.80 |    35.92 |     39.12 |     63.38 |  task_3048_cp2k_singlepoint_pre |
|         89 |   0.33 |  30.38 |    19.58 |    36.01 |    28.88 |     33.77 |     52.61 |  task_3046_cp2k_singlepoint_pre |
|         90 |   0.27 |  30.72 |    18.38 |    37.99 |    31.55 |     33.53 |     53.21 |  task_3056_cp2k_singlepoint_pre |
|         91 |   0.51 |  38.39 |    22.54 |    44.48 |    36.86 |     42.84 |     70.33 |  task_3054_cp2k_singlepoint_pre |
|         92 |   0.05 |  19.28 |    13.39 |    25.82 |    21.36 |     20.38 |     27.31 |  task_3060_cp2k_singlepoint_pre |
|         93 |   0.03 |  20.29 |    13.53 |    27.00 |    21.08 |     21.51 |     32.30 |  task_3062_cp2k_singlepoint_pre |
|         94 |   0.17 |  21.16 |    14.38 |    27.23 |    22.39 |     21.87 |     34.58 |  task_3058_cp2k_singlepoint_pre |
|         95 |   0.17 |  23.21 |    15.07 |    29.58 |    24.17 |     24.30 |     39.79 |  task_3064_cp2k_singlepoint_pre |
|         96 |   0.40 |  26.19 |    16.34 |    33.77 |    27.18 |     29.21 |     42.86 |  task_3068_cp2k_singlepoint_pre |
|         97 |   0.55 |  29.41 |    18.39 |    35.67 |    29.94 |     32.68 |     51.20 |  task_3066_cp2k_singlepoint_pre |
|         98 |   0.84 |  33.75 |    19.83 |    46.43 |    33.73 |     37.02 |     58.87 |  task_3070_cp2k_singlepoint_pre |
|         99 |   0.29 |  31.71 |    19.38 |    39.15 |    29.80 |     35.77 |     58.39 |  task_3072_cp2k_singlepoint_pre |
|        100 |   0.17 |  17.11 |    11.57 |    21.53 |    17.40 |     18.19 |     27.86 |  task_4645_cp2k_singlepoint_pre |
|        101 |   0.26 |  18.78 |    11.78 |    23.07 |    18.49 |     21.96 |     29.19 |  task_4647_cp2k_singlepoint_pre |
|        102 |   0.24 |  17.37 |    11.78 |    21.78 |    18.49 |     18.32 |     27.15 |  task_4643_cp2k_singlepoint_pre |
|        103 |   0.38 |  17.92 |    12.33 |    25.16 |    17.50 |     18.91 |     27.23 |  task_4633_cp2k_singlepoint_pre |
|        104 |   0.24 |  17.37 |    12.01 |    24.84 |    18.91 |     17.49 |     24.98 |  task_4637_cp2k_singlepoint_pre |
|        105 |   0.19 |  18.55 |    12.59 |    22.70 |    18.51 |     20.19 |     29.10 |  task_4641_cp2k_singlepoint_pre |
|        106 |   0.05 |  19.74 |    13.15 |    28.20 |    22.47 |     20.31 |     26.92 |  task_4639_cp2k_singlepoint_pre |
|        107 |   0.10 |  21.42 |    13.18 |    26.33 |    21.13 |     22.79 |     36.73 |  task_4635_cp2k_singlepoint_pre |
|        108 |   0.11 |  14.52 |    10.22 |    18.81 |    16.91 |     14.71 |     20.79 |  task_4651_cp2k_singlepoint_pre |
|        109 |   0.08 |  19.31 |    12.88 |    23.78 |    19.99 |     20.55 |     31.82 |  task_4649_cp2k_singlepoint_pre |
|        110 |   0.27 |  19.76 |    13.55 |    24.84 |    21.86 |     19.87 |     31.79 |  task_4657_cp2k_singlepoint_pre |
|        111 |   0.55 |  26.91 |    16.94 |    36.07 |    28.11 |     28.31 |     44.37 |  task_4663_cp2k_singlepoint_pre |
|        112 |   0.63 |  29.97 |    18.27 |    37.25 |    29.59 |     32.78 |     52.44 |  task_4664_cp2k_singlepoint_pre |
|        113 |   1.17 |  32.22 |    19.14 |    38.55 |    30.23 |     36.98 |     56.65 |  task_4661_cp2k_singlepoint_pre |
|        114 |   0.12 |  28.24 |    17.39 |    30.25 |    25.74 |     32.03 |     52.35 |  task_4653_cp2k_singlepoint_pre |
|        115 |   0.45 |  39.89 |    24.08 |    51.62 |    37.26 |     39.71 |     77.58 |  task_4655_cp2k_singlepoint_pre |
|        116 |   0.07 |  34.35 |    20.49 |    36.41 |    30.03 |     41.76 |     60.83 |  task_4659_cp2k_singlepoint_pre |
|        117 |   0.00 |  16.91 |    11.58 |    21.96 |    18.32 |     17.03 |     27.31 |  task_4669_cp2k_singlepoint_pre |
|        118 |   0.01 |  18.69 |    13.22 |    24.23 |    19.61 |     19.56 |     28.84 |  task_4667_cp2k_singlepoint_pre |
|        119 |   0.39 |  23.76 |    15.07 |    30.61 |    24.49 |     26.44 |     38.22 |  task_4671_cp2k_singlepoint_pre |
|        120 |   0.01 |  21.01 |    13.62 |    27.92 |    23.92 |     22.17 |     31.83 |  task_4681_cp2k_singlepoint_pre |
|        121 |   0.60 |  24.40 |    16.30 |    26.75 |    26.50 |     26.60 |     40.92 |  task_4679_cp2k_singlepoint_pre |
|        122 |   0.31 |  28.43 |    16.37 |    40.94 |    29.00 |     30.47 |     48.88 |  task_4673_cp2k_singlepoint_pre |
|        123 |   0.96 |  31.07 |    17.70 |    41.34 |    30.47 |     34.30 |     56.70 |  task_4677_cp2k_singlepoint_pre |
|        124 |   0.91 |  41.67 |    26.66 |    54.82 |    43.77 |     48.76 |     60.97 |  task_4675_cp2k_singlepoint_pre |
|        125 |   0.00 |  16.16 |    11.29 |    18.87 |    16.79 |     18.36 |     23.60 |  task_4685_cp2k_singlepoint_pre |
|        126 |   0.11 |  17.08 |    11.69 |    22.78 |    16.50 |     18.32 |     27.00 |  task_4683_cp2k_singlepoint_pre |
|        127 |   0.02 |  16.84 |    11.29 |    21.24 |    17.05 |     18.33 |     26.49 |  task_4691_cp2k_singlepoint_pre |
|        128 |   0.23 |  17.20 |    12.14 |    23.36 |    20.01 |     16.74 |     24.65 |  task_4689_cp2k_singlepoint_pre |
|        129 |   0.44 |  17.91 |    12.09 |    23.53 |    19.64 |     17.90 |     28.12 |  task_4687_cp2k_singlepoint_pre |
|        130 |   0.40 |  27.34 |    13.71 |    25.80 |    22.32 |     37.46 |     43.61 |  task_4693_cp2k_singlepoint_pre |
|        131 |   0.03 |  18.55 |    12.32 |    24.56 |    19.26 |     19.60 |     28.40 |  task_4697_cp2k_singlepoint_pre |
|        132 |   0.21 |  21.26 |    13.48 |    26.38 |    21.05 |     23.00 |     34.89 |  task_4695_cp2k_singlepoint_pre |
|        133 |   0.15 |  14.05 |    10.34 |    18.79 |    16.50 |     14.33 |     17.94 |  task_4711_cp2k_singlepoint_pre |
|        134 |   0.07 |  18.57 |    12.62 |    26.60 |    19.12 |     19.51 |     27.56 |  task_4705_cp2k_singlepoint_pre |
|        135 |   0.06 |  21.45 |    13.47 |    27.00 |    22.36 |     23.02 |     35.97 |  task_4707_cp2k_singlepoint_pre |
|        136 |   0.28 |  25.22 |    16.84 |    30.60 |    24.23 |     27.49 |     42.88 |  task_4709_cp2k_singlepoint_pre |
|        137 |   0.39 |  28.17 |    17.11 |    37.15 |    27.28 |     31.52 |     47.00 |  task_4703_cp2k_singlepoint_pre |
|        138 |   1.18 |  32.53 |    19.24 |    40.33 |    29.22 |     37.52 |     57.33 |  task_4701_cp2k_singlepoint_pre |
|        139 |   0.17 |  29.59 |    18.45 |    34.11 |    27.88 |     32.92 |     53.23 |  task_4699_cp2k_singlepoint_pre |
|        140 |   0.70 |  30.19 |    18.82 |    38.87 |    28.46 |     33.53 |     51.58 |  task_4713_cp2k_singlepoint_pre |
|        141 |   0.42 |  34.61 |    21.47 |    40.45 |    32.64 |     37.86 |     63.27 |  task_4715_cp2k_singlepoint_pre |
|        142 |   0.13 |  18.21 |    12.31 |    24.55 |    19.25 |     18.00 |     30.22 |  task_4717_cp2k_singlepoint_pre |
