+------------+--------+--------+----------+----------+----------+-----------+-----------+---------------------------------+
| identifier | e_rmse | f_rmse | f_rmse_H | f_rmse_C | f_rmse_N | f_rmse_Br | f_rmse_Pb |                          stdout |
+------------+--------+--------+----------+----------+----------+-----------+-----------+---------------------------------+
|          0 |   0.65 |  40.77 |    34.97 |    61.61 |    52.53 |     30.89 |     40.63 |  task_2008_cp2k_singlepoint_pre |
|          1 |   0.40 |  38.65 |    30.55 |    55.28 |    51.36 |     31.91 |     43.42 |  task_2009_cp2k_singlepoint_pre |
|          2 |   0.73 |  42.71 |    35.81 |    64.81 |    55.00 |     32.21 |     46.00 |  task_2010_cp2k_singlepoint_pre |
|          3 |   0.70 |  43.68 |    33.43 |    63.66 |    54.91 |     37.18 |     55.49 |  task_2014_cp2k_singlepoint_pre |
|          4 |   0.79 |  44.82 |    36.88 |    75.41 |    51.68 |     34.58 |     51.84 |  task_2017_cp2k_singlepoint_pre |
|          5 |   0.38 |  42.72 |    33.78 |    62.98 |    54.60 |     35.45 |     49.97 |  task_2019_cp2k_singlepoint_pre |
|          6 |   0.71 |  41.32 |    34.45 |    62.66 |    53.31 |     29.65 |     48.06 |  task_2022_cp2k_singlepoint_pre |
|          7 |   0.90 |  45.56 |    35.28 |    72.56 |    59.60 |     33.79 |     53.94 |  task_2023_cp2k_singlepoint_pre |
|          8 |   0.76 |  35.07 |    29.69 |    49.75 |    44.91 |     27.63 |     39.42 |  task_2029_cp2k_singlepoint_pre |
|          9 |   1.66 |  58.98 |    48.84 |    86.38 |    82.14 |     46.48 |     49.46 |  task_2034_cp2k_singlepoint_pre |
|         10 |   1.06 |  42.10 |    33.38 |    62.37 |    58.40 |     31.35 |     45.13 |  task_2036_cp2k_singlepoint_pre |
|         11 |   0.88 |  44.63 |    33.74 |    66.47 |    54.57 |     38.71 |     57.73 |  task_2042_cp2k_singlepoint_pre |
|         12 |   0.91 |  42.00 |    33.12 |    69.44 |    59.77 |     27.17 |     38.80 |  task_2043_cp2k_singlepoint_pre |
|         13 |   1.20 |  50.52 |    38.61 |    89.64 |    63.30 |     36.67 |     55.85 |  task_2044_cp2k_singlepoint_pre |
|         14 |   0.92 |  41.07 |    32.19 |    68.31 |    54.05 |     30.24 |     42.49 |  task_2045_cp2k_singlepoint_pre |
|         15 |   0.73 |  46.60 |    36.40 |    73.66 |    63.35 |     34.46 |     49.47 |  task_2047_cp2k_singlepoint_pre |
|         16 |   0.63 |  51.03 |    40.24 |    82.91 |    68.55 |     38.62 |     49.05 |  task_2060_cp2k_singlepoint_pre |
|         17 |   0.60 |  46.03 |    35.32 |    71.44 |    60.97 |     35.89 |     52.91 |  task_2061_cp2k_singlepoint_pre |
|         18 |   1.13 |  42.74 |    35.17 |    74.35 |    56.42 |     27.07 |     40.50 |  task_2062_cp2k_singlepoint_pre |
|         19 |   0.99 |  44.40 |    38.62 |    61.32 |    56.35 |     34.04 |     51.30 |  task_2063_cp2k_singlepoint_pre |
|         20 |   0.70 |  40.49 |    32.48 |    61.30 |    53.54 |     29.41 |     48.13 |  task_2064_cp2k_singlepoint_pre |
|         21 |   0.73 |  59.21 |    48.65 |    93.38 |    82.33 |     41.88 |     52.52 |  task_2065_cp2k_singlepoint_pre |
|         22 |   0.48 |  49.14 |    39.07 |    74.72 |    68.35 |     37.04 |     48.04 |  task_2066_cp2k_singlepoint_pre |
|         23 |   0.61 |  45.59 |    35.18 |    76.05 |    58.92 |     34.25 |     50.28 |  task_2074_cp2k_singlepoint_pre |
|         24 |   1.20 |  46.04 |    37.03 |    78.52 |    60.00 |     31.94 |     46.35 |  task_2078_cp2k_singlepoint_pre |
|         25 |   0.44 |  40.96 |    33.27 |    59.85 |    51.01 |     34.02 |     48.43 |  task_2079_cp2k_singlepoint_pre |
|         26 |   0.80 |  41.05 |    32.82 |    62.59 |    58.01 |     28.68 |     41.50 |  task_2083_cp2k_singlepoint_pre |
|         27 |   0.51 |  43.36 |    37.63 |    60.14 |    52.36 |     35.43 |     51.17 |  task_2086_cp2k_singlepoint_pre |
|         28 |   0.77 |  40.06 |    33.03 |    59.78 |    51.64 |     31.54 |     43.73 |  task_2089_cp2k_singlepoint_pre |
|         29 |   0.66 |  44.03 |    35.71 |    62.58 |    53.83 |     37.06 |     55.27 |  task_2092_cp2k_singlepoint_pre |
|         30 |   1.07 |  45.18 |    39.17 |    71.04 |    56.72 |     32.55 |     46.54 |  task_2096_cp2k_singlepoint_pre |
|         31 |   0.62 |  61.26 |    49.35 |    92.06 |    81.28 |     47.73 |     66.08 |  task_2099_cp2k_singlepoint_pre |
|         32 |   1.11 |  45.89 |    39.48 |    65.27 |    64.54 |     30.70 |     45.42 |  task_2102_cp2k_singlepoint_pre |
|         33 |   0.41 |  49.17 |    38.87 |    68.38 |    65.35 |     38.65 |     61.33 |  task_2105_cp2k_singlepoint_pre |
|         34 |   0.56 |  53.69 |    42.22 |    82.45 |    68.93 |     45.02 |     57.47 |  task_2108_cp2k_singlepoint_pre |
|         35 |   0.74 |  39.51 |    30.21 |    61.65 |    51.60 |     30.73 |     47.07 |  task_2111_cp2k_singlepoint_pre |
|         36 |   0.81 |  41.14 |    31.56 |    72.28 |    53.61 |     30.09 |     40.46 |  task_2114_cp2k_singlepoint_pre |
|         37 |   0.76 |  43.32 |    31.39 |    54.87 |    52.22 |     40.37 |     64.89 |  task_2120_cp2k_singlepoint_pre |
|         38 |   0.96 |  37.73 |    31.00 |    56.72 |    50.20 |     28.77 |     39.20 |  task_2121_cp2k_singlepoint_pre |
|         39 |   0.36 |  41.96 |    33.60 |    65.44 |    54.28 |     32.01 |     47.39 |  task_2122_cp2k_singlepoint_pre |
|         40 |   0.93 |  37.30 |    31.82 |    55.92 |    50.45 |     25.96 |     37.29 |  task_2123_cp2k_singlepoint_pre |
|         41 |   0.78 |  52.25 |    40.93 |    77.84 |    76.89 |     37.01 |     49.45 |  task_2125_cp2k_singlepoint_pre |
|         42 |   1.03 |  41.77 |    32.82 |    66.91 |    56.93 |     30.81 |     41.80 |  task_2131_cp2k_singlepoint_pre |
|         43 |   1.00 |  50.68 |    45.24 |    69.94 |    64.62 |     40.27 |     50.08 |  task_2135_cp2k_singlepoint_pre |
|         44 |   0.70 |  40.41 |    28.94 |    73.44 |    57.06 |     26.11 |     38.16 |  task_2138_cp2k_singlepoint_pre |
|         45 |   0.92 |  48.80 |    38.17 |    70.10 |    66.30 |     38.90 |     55.39 |  task_2141_cp2k_singlepoint_pre |
|         46 |   0.83 |  42.28 |    32.80 |    75.47 |    54.62 |     30.13 |     41.04 |  task_2144_cp2k_singlepoint_pre |
|         47 |   0.59 |  38.87 |    31.59 |    59.66 |    49.40 |     29.86 |     45.17 |  task_2146_cp2k_singlepoint_pre |
|         48 |   0.59 |  42.50 |    34.48 |    67.34 |    54.71 |     31.40 |     47.52 |  task_2150_cp2k_singlepoint_pre |
|         49 |   0.63 |  41.05 |    33.39 |    61.53 |    52.08 |     31.90 |     48.99 |  task_2153_cp2k_singlepoint_pre |
|         50 |   1.21 |  38.86 |    28.78 |    65.06 |    53.20 |     29.03 |     39.51 |  task_2156_cp2k_singlepoint_pre |
|         51 |   0.56 |  39.36 |    33.16 |    54.73 |    50.30 |     30.82 |     46.84 |  task_2159_cp2k_singlepoint_pre |
|         52 |   0.75 |  47.07 |    40.21 |    78.24 |    54.40 |     34.98 |     52.87 |  task_2162_cp2k_singlepoint_pre |
|         53 |   0.87 |  42.58 |    32.73 |    59.17 |    50.61 |     37.62 |     59.33 |  task_2165_cp2k_singlepoint_pre |
|         54 |   0.78 |  42.02 |    35.55 |    65.75 |    52.89 |     30.14 |     47.20 |  task_2168_cp2k_singlepoint_pre |
|         55 |   0.55 |  50.51 |    40.47 |    74.86 |    64.97 |     41.63 |     56.52 |  task_2171_cp2k_singlepoint_pre |
|         56 |   0.66 |  41.38 |    33.65 |    65.81 |    53.95 |     30.33 |     44.48 |  task_2174_cp2k_singlepoint_pre |
|         57 |   0.32 |  47.66 |    38.82 |    69.76 |    65.11 |     34.30 |     53.58 |  task_2177_cp2k_singlepoint_pre |
|         58 |   1.01 |  37.73 |    30.71 |    61.41 |    48.78 |     27.71 |     39.15 |  task_2180_cp2k_singlepoint_pre |
|         59 |   0.44 |  42.70 |    31.56 |    68.17 |    55.78 |     33.09 |     52.45 |  task_2183_cp2k_singlepoint_pre |
|         60 |   0.64 |  49.34 |    42.65 |    69.43 |    70.57 |     34.43 |     42.24 |  task_2186_cp2k_singlepoint_pre |
|         61 |   0.53 |  40.94 |    32.69 |    60.06 |    53.71 |     31.53 |     49.23 |  task_2189_cp2k_singlepoint_pre |
|         62 |   0.26 |  40.91 |    31.69 |    61.99 |    53.47 |     33.36 |     46.49 |  task_2192_cp2k_singlepoint_pre |
|         63 |   0.47 |  39.29 |    29.02 |    64.66 |    51.71 |     31.69 |     42.24 |  task_2195_cp2k_singlepoint_pre |
|         64 |   0.88 |  35.31 |    28.69 |    54.09 |    45.76 |     26.55 |     40.20 |  task_2198_cp2k_singlepoint_pre |
|         65 |   0.38 |  43.47 |    35.07 |    60.83 |    57.51 |     35.39 |     49.63 |  task_2201_cp2k_singlepoint_pre |
|         66 |   0.67 |  48.11 |    40.79 |    62.38 |    68.92 |     32.52 |     53.75 |  task_2204_cp2k_singlepoint_pre |
|         67 |   0.57 |  44.16 |    33.37 |    66.67 |    61.39 |     34.69 |     47.57 |  task_2207_cp2k_singlepoint_pre |
|         68 |   1.15 |  42.36 |    34.87 |    69.75 |    58.30 |     27.78 |     38.37 |  task_2210_cp2k_singlepoint_pre |
|         69 |   0.48 |  45.36 |    35.92 |    69.75 |    62.37 |     33.12 |     48.27 |  task_2213_cp2k_singlepoint_pre |
|         70 |   1.10 |  44.09 |    37.71 |    76.02 |    55.16 |     29.17 |     42.42 |  task_2216_cp2k_singlepoint_pre |
|         71 |   0.95 |  49.85 |    44.08 |    70.23 |    66.10 |     33.52 |     55.69 |  task_2219_cp2k_singlepoint_pre |
|         72 |   0.29 |  50.89 |    42.61 |    75.22 |    67.83 |     39.76 |     49.02 |  task_2222_cp2k_singlepoint_pre |
|         73 |   0.68 |  40.15 |    33.16 |    56.63 |    52.51 |     30.94 |     47.57 |  task_2225_cp2k_singlepoint_pre |
|         74 |   0.70 |  41.57 |    34.54 |    65.71 |    57.04 |     27.96 |     39.98 |  task_2228_cp2k_singlepoint_pre |
|         75 |   0.31 |  47.08 |    35.45 |    72.98 |    64.08 |     35.75 |     54.36 |  task_2231_cp2k_singlepoint_pre |
|         76 |   0.44 |  58.34 |    46.59 |   100.69 |    74.27 |     42.26 |     58.87 |  task_2234_cp2k_singlepoint_pre |
|         77 |   1.02 |  45.31 |    36.86 |    63.05 |    58.57 |     36.94 |     54.08 |  task_2237_cp2k_singlepoint_pre |
|         78 |   0.30 |  51.14 |    38.62 |    88.81 |    65.27 |     38.43 |     55.58 |  task_2240_cp2k_singlepoint_pre |
|         79 |   0.32 |  50.42 |    39.07 |    82.29 |    65.63 |     37.36 |     57.62 |  task_2243_cp2k_singlepoint_pre |
|         80 |   0.68 |  35.17 |    29.02 |    51.25 |    44.94 |     27.62 |     40.97 |  task_2246_cp2k_singlepoint_pre |
|         81 |   0.79 |  46.97 |    36.46 |    71.52 |    64.96 |     33.77 |     53.65 |  task_2249_cp2k_singlepoint_pre |
|         82 |   1.12 |  46.66 |    37.41 |    69.43 |    62.95 |     35.73 |     50.55 |  task_2252_cp2k_singlepoint_pre |
|         83 |   0.52 |  42.55 |    33.05 |    67.30 |    55.87 |     32.15 |     49.04 |  task_2255_cp2k_singlepoint_pre |
|         84 |   0.14 |  45.49 |    35.90 |    67.95 |    64.06 |     32.68 |     48.53 |  task_2258_cp2k_singlepoint_pre |
|         85 |   0.88 |  43.64 |    32.33 |    67.02 |    50.65 |     38.16 |     60.23 |  task_2261_cp2k_singlepoint_pre |
|         86 |   0.58 |  39.29 |    32.93 |    58.79 |    49.42 |     31.21 |     42.87 |  task_2264_cp2k_singlepoint_pre |
|         87 |   0.67 |  43.71 |    35.47 |    70.45 |    56.54 |     32.70 |     45.70 |  task_2267_cp2k_singlepoint_pre |
|         88 |   0.90 |  39.87 |    33.39 |    59.27 |    53.98 |     28.20 |     42.15 |  task_2270_cp2k_singlepoint_pre |
|         89 |   0.52 |  45.44 |    36.78 |    72.53 |    57.42 |     34.93 |     50.19 |  task_2273_cp2k_singlepoint_pre |
|         90 |   0.45 |  53.33 |    45.28 |    69.18 |    76.60 |     39.82 |     51.03 |  task_2276_cp2k_singlepoint_pre |
|         91 |   0.78 |  49.20 |    40.62 |    70.32 |    67.75 |     35.79 |     53.47 |  task_2279_cp2k_singlepoint_pre |
|         92 |   0.46 |  38.91 |    30.87 |    60.38 |    50.89 |     29.52 |     44.37 |  task_2282_cp2k_singlepoint_pre |
|         93 |   0.07 |  47.90 |    39.64 |    82.17 |    60.22 |     32.25 |     50.80 |  task_2285_cp2k_singlepoint_pre |
|         94 |   0.74 |  39.08 |    31.81 |    56.10 |    51.14 |     31.10 |     44.54 |  task_2288_cp2k_singlepoint_pre |
|         95 |   0.58 |  42.99 |    31.62 |    62.28 |    55.73 |     34.84 |     58.63 |  task_2291_cp2k_singlepoint_pre |
|         96 |   0.80 |  46.16 |    35.99 |    78.19 |    56.69 |     35.50 |     52.66 |  task_2294_cp2k_singlepoint_pre |
|         97 |   0.07 |  47.60 |    37.12 |    80.15 |    60.98 |     35.22 |     52.33 |  task_2297_cp2k_singlepoint_pre |
|         98 |   0.92 |  34.51 |    26.66 |    51.32 |    44.99 |     28.07 |     41.13 |  task_2300_cp2k_singlepoint_pre |
|         99 |   1.16 |  49.09 |    40.01 |    67.57 |    64.28 |     38.94 |     59.60 |  task_2303_cp2k_singlepoint_pre |
|        100 |   0.92 |  17.78 |    12.77 |    24.03 |    19.98 |     17.32 |     26.50 |  task_3204_cp2k_singlepoint_pre |
|        101 |   0.68 |  23.60 |    14.42 |    28.02 |    25.64 |     24.77 |     41.06 |  task_3206_cp2k_singlepoint_pre |
|        102 |   0.85 |  18.92 |    13.24 |    26.91 |    21.96 |     17.97 |     27.57 |  task_3208_cp2k_singlepoint_pre |
|        103 |   0.63 |  21.36 |    14.39 |    27.63 |    22.58 |     21.93 |     34.70 |  task_3210_cp2k_singlepoint_pre |
|        104 |   0.89 |  19.57 |    12.67 |    25.25 |    21.35 |     20.39 |     31.57 |  task_3212_cp2k_singlepoint_pre |
|        105 |   0.59 |  22.42 |    13.60 |    28.77 |    23.30 |     23.22 |     39.47 |  task_3214_cp2k_singlepoint_pre |
|        106 |   0.82 |  17.77 |    12.79 |    23.68 |    20.05 |     17.84 |     25.52 |  task_3216_cp2k_singlepoint_pre |
|        107 |   0.44 |  22.57 |    14.75 |    28.39 |    24.75 |     22.36 |     38.44 |  task_3218_cp2k_singlepoint_pre |
|        108 |   0.99 |  18.68 |    12.73 |    23.73 |    19.09 |     19.00 |     31.65 |  task_3220_cp2k_singlepoint_pre |
|        109 |   0.57 |  24.71 |    15.53 |    29.89 |    24.41 |     26.04 |     44.47 |  task_3224_cp2k_singlepoint_pre |
