+--------------+---------+----------+--------+--------------+--------------------+------------+--------+--------------------------------------+
| walker_index | counter | is_reset | f_rmse | disagreement |        temperature | identifier | e_rmse |                               stdout |
+--------------+---------+----------+--------+--------------+--------------------+------------+--------+--------------------------------------+
|            0 |   12000 |    False |  51.17 |         None |             806.70 |        548 |   1.30 | task_17899_molecular_dynamics_openmm |
|            1 |   12000 |    False |  53.40 |         None |             826.27 |        549 |   1.48 | task_17911_molecular_dynamics_openmm |
|            2 |   12000 |    False |  50.42 |         None |             790.71 |        550 |   1.60 | task_17923_molecular_dynamics_openmm |
|            3 |   12000 |    False |  51.47 |         None |             803.35 |        551 |   1.18 | task_17935_molecular_dynamics_openmm |
|            4 |   14000 |    False |  47.79 |         None |             795.17 |        552 |   1.77 | task_17947_molecular_dynamics_openmm |
|            5 |   12000 |    False |  56.26 |         None |             806.64 |        553 |   1.47 | task_17959_molecular_dynamics_openmm |
|            6 |   32000 |    False |  62.93 |         None |             815.93 |        554 |   0.01 | task_17971_molecular_dynamics_openmm |
|            7 |   12000 |    False |  55.69 |         None |             810.36 |        555 |   1.34 | task_17983_molecular_dynamics_openmm |
|            8 |   12000 |    False |  49.97 |         None |             801.02 |        556 |   2.00 | task_17995_molecular_dynamics_openmm |
|            9 |   32000 |    False |  56.17 |         None |             799.45 |        557 |   1.48 | task_18007_molecular_dynamics_openmm |
|           10 |   12000 |    False |  50.84 |         None |             807.31 |        558 |   1.52 | task_18019_molecular_dynamics_openmm |
|           11 |   12000 |    False |  51.67 |         None |             816.82 |        559 |   0.31 | task_18031_molecular_dynamics_openmm |
|           12 |   32000 |    False |  55.14 |         None |             781.55 |        560 |   1.09 | task_18043_molecular_dynamics_openmm |
|           13 |   12000 |    False |  52.73 |         None |             810.13 |        561 |   0.52 | task_18055_molecular_dynamics_openmm |
|           14 |   32000 |    False |  53.52 |         None |             814.54 |        562 |   1.39 | task_18067_molecular_dynamics_openmm |
|           15 |   32000 |    False |  52.70 |         None |             785.76 |        563 |   1.41 | task_18079_molecular_dynamics_openmm |
|           16 |   32000 |    False |  60.03 |         None |             821.81 |        564 |   0.79 | task_18091_molecular_dynamics_openmm |
|           17 |   12000 |    False |  49.03 |         None |             789.00 |        565 |   0.74 | task_18103_molecular_dynamics_openmm |
|           18 |   32000 |    False |  46.40 |         None |             806.12 |        566 |   1.89 | task_18115_molecular_dynamics_openmm |
|           19 |   12000 |    False |  54.80 |         None |             787.53 |        567 |   1.29 | task_18127_molecular_dynamics_openmm |
|           20 |   12000 |    False |  48.17 |         None |             796.81 |        568 |   1.77 | task_18139_molecular_dynamics_openmm |
|           21 |   12000 |    False |  55.26 |         None |             807.00 |        569 |   1.67 | task_18151_molecular_dynamics_openmm |
|           22 |   12000 |    False |  47.29 |         None |             794.97 |        570 |   1.57 | task_18163_molecular_dynamics_openmm |
|           23 |   32000 |    False |  48.19 |         None |             802.70 |        571 |   0.78 | task_18175_molecular_dynamics_openmm |
|           24 |       0 |     True |   None |         None | 564681929768332.50 |       None |   None | task_18187_molecular_dynamics_openmm |
|           25 |   32000 |    False |  50.23 |         None |             813.07 |        572 |   1.45 | task_18199_molecular_dynamics_openmm |
|           26 |   14000 |    False |  47.69 |         None |             790.12 |        573 |   0.62 | task_18211_molecular_dynamics_openmm |
|           27 |   10000 |    False |  50.44 |         None |             812.02 |        574 |   1.13 | task_18223_molecular_dynamics_openmm |
|           28 |   32000 |    False |  64.32 |         None |             803.09 |        575 |   0.86 | task_18235_molecular_dynamics_openmm |
|           29 |   12000 |    False |  49.64 |         None |             812.86 |        576 |   0.83 | task_18247_molecular_dynamics_openmm |
+--------------+---------+----------+--------+--------------+--------------------+------------+--------+--------------------------------------+
